return_id,order_item_id,reason,status,refunded_amount,created_at,updated_at
29,1349,size_fit,refunded,89.83,2024-07-21 13:18:52+00,2024-07-23 13:18:52+00
30,1515,size_fit,refunded,1695.26,2024-07-22 05:24:33+00,2024-07-24 05:24:33+00
31,1523,damaged,refunded,104.35,2024-07-22 04:24:08+00,2024-07-24 04:24:08+00
32,1585,defective,refunded,937.6,2024-07-23 06:03:43+00,2024-07-25 06:03:43+00
33,1688,buyer_remorse,refunded,1044.57,2024-07-24 15:02:41+00,2024-07-26 15:02:41+00
34,1709,late_delivery,refunded,541.0,2024-07-24 11:12:58+00,2024-07-26 11:12:58+00
35,1751,defective,refunded,984.79,2024-07-25 04:46:33+00,2024-07-27 04:46:33+00
36,1753,damaged,refunded,91.34,2024-07-25 13:14:56+00,2024-07-27 13:14:56+00
37,1800,defective,refunded,318.3,2024-07-25 00:13:32+00,2024-07-27 00:13:32+00
38,1936,defective,refunded,1452.54,2024-07-27 12:18:28+00,2024-07-29 12:18:28+00
39,1974,damaged,refunded,1387.16,2024-07-27 13:26:07+00,2024-07-29 13:26:07+00
40,1992,damaged,refunded,138.7,2024-07-27 03:41:50+00,2024-07-29 03:41:50+00
41,2053,wrong_item,refunded,268.93,2024-07-28 11:36:24+00,2024-07-30 11:36:24+00
42,2114,buyer_remorse,refunded,2089.14,2024-07-28 09:59:02+00,2024-07-30 09:59:02+00
43,2168,wrong_item,refunded,548.27,2024-07-29 04:50:25+00,2024-07-31 04:50:25+00
44,2207,buyer_remorse,refunded,1465.38,2024-07-29 08:32:08+00,2024-07-31 08:32:08+00
45,2243,buyer_remorse,refunded,339.04,2024-07-30 10:02:04+00,2024-08-01 10:02:04+00
46,2265,buyer_remorse,refunded,166.94,2024-07-30 22:00:05+00,2024-08-01 22:00:05+00
47,2331,wrong_item,refunded,495.91,2024-07-30 03:23:56+00,2024-08-01 03:23:56+00
48,2376,size_fit,refunded,61.29,2024-07-31 21:49:35+00,2024-08-02 21:49:35+00
49,2409,buyer_remorse,refunded,529.26,2024-07-31 03:47:42+00,2024-08-02 03:47:42+00
50,2450,size_fit,refunded,927.61,2024-07-31 14:06:39+00,2024-08-02 14:06:39+00
51,2587,damaged,refunded,332.86,2024-08-02 17:05:24+00,2024-08-04 17:05:24+00
52,2608,buyer_remorse,refunded,89.02,2024-08-02 04:04:10+00,2024-08-04 04:04:10+00
53,2663,wrong_item,refunded,1653.24,2024-08-03 03:51:56+00,2024-08-05 03:51:56+00
54,2676,buyer_remorse,refunded,521.85,2024-08-03 23:35:20+00,2024-08-05 23:35:20+00
55,2740,wrong_item,refunded,101.46,2024-08-03 16:32:43+00,2024-08-05 16:32:43+00
56,2756,damaged,refunded,110.61,2024-08-03 22:18:29+00,2024-08-05 22:18:29+00
57,2840,size_fit,refunded,468.68,2024-08-04 02:59:00+00,2024-08-06 02:59:00+00
58,2842,defective,refunded,75.92,2024-08-04 09:46:59+00,2024-08-06 09:46:59+00
59,2950,wrong_item,refunded,288.63,2024-08-05 21:53:33+00,2024-08-07 21:53:33+00
60,2987,size_fit,refunded,84.4,2024-08-05 10:18:35+00,2024-08-07 10:18:35+00
61,3104,late_delivery,refunded,136.85,2024-08-06 20:02:48+00,2024-08-08 20:02:48+00
62,3149,late_delivery,refunded,121.12,2024-08-06 09:22:35+00,2024-08-08 09:22:35+00
63,3232,wrong_item,refunded,1297.56,2024-08-07 11:11:08+00,2024-08-09 11:11:08+00
64,3282,size_fit,refunded,95.98,2024-08-08 05:38:19+00,2024-08-10 05:38:19+00
65,3289,damaged,refunded,200.92,2024-08-08 02:22:44+00,2024-08-10 02:22:44+00
66,3387,size_fit,refunded,249.24,2024-08-09 15:13:52+00,2024-08-11 15:13:52+00
67,3409,size_fit,refunded,195.91,2024-08-09 18:07:58+00,2024-08-11 18:07:58+00
68,3442,buyer_remorse,refunded,1063.4,2024-08-10 02:48:19+00,2024-08-12 02:48:19+00
69,3491,buyer_remorse,refunded,203.93,2024-08-10 16:27:33+00,2024-08-12 16:27:33+00
70,3511,size_fit,refunded,145.35,2024-08-10 19:34:04+00,2024-08-12 19:34:04+00
71,3527,buyer_remorse,refunded,52.08,2024-08-11 12:38:19+00,2024-08-13 12:38:19+00
72,3529,size_fit,refunded,188.86,2024-08-11 04:55:21+00,2024-08-13 04:55:21+00
73,3557,damaged,refunded,583.41,2024-08-11 10:00:20+00,2024-08-13 10:00:20+00
74,3583,size_fit,refunded,541.0,2024-08-11 22:16:37+00,2024-08-13 22:16:37+00
75,3764,size_fit,refunded,247.46,2024-08-13 04:23:34+00,2024-08-15 04:23:34+00
76,3815,buyer_remorse,refunded,452.84,2024-08-14 02:56:24+00,2024-08-16 02:56:24+00
77,3844,buyer_remorse,refunded,268.93,2024-08-14 07:48:38+00,2024-08-16 07:48:38+00
78,3871,wrong_item,refunded,180.68,2024-08-14 08:07:58+00,2024-08-16 08:07:58+00
79,3872,damaged,refunded,481.08,2024-08-14 14:05:15+00,2024-08-16 14:05:15+00
80,3881,damaged,refunded,491.09,2024-08-14 20:50:29+00,2024-08-16 20:50:29+00
81,3883,wrong_item,refunded,436.98,2024-08-14 17:04:46+00,2024-08-16 17:04:46+00
82,3942,late_delivery,refunded,337.43,2024-08-15 13:37:50+00,2024-08-17 13:37:50+00
83,3991,wrong_item,refunded,509.28,2024-08-16 09:12:49+00,2024-08-18 09:12:49+00
84,4036,size_fit,refunded,1082.0,2024-08-16 20:17:40+00,2024-08-18 20:17:40+00
85,4096,damaged,refunded,162.04,2024-08-17 08:05:42+00,2024-08-19 08:05:42+00
86,4155,damaged,refunded,481.08,2024-08-17 20:49:31+00,2024-08-19 20:49:31+00
87,4223,wrong_item,refunded,424.79,2024-08-18 13:10:24+00,2024-08-20 13:10:24+00
88,4263,defective,refunded,264.2,2024-08-18 06:29:43+00,2024-08-20 06:29:43+00
89,4413,defective,refunded,232.93,2024-08-20 14:13:04+00,2024-08-22 14:13:04+00
90,4482,late_delivery,refunded,283.14,2024-08-20 05:06:57+00,2024-08-22 05:06:57+00
91,4590,wrong_item,refunded,132.1,2024-08-21 17:53:45+00,2024-08-23 17:53:45+00
92,4687,wrong_item,refunded,48.7,2024-08-22 04:08:41+00,2024-08-24 04:08:41+00
93,4806,size_fit,refunded,143.21,2024-08-24 12:42:04+00,2024-08-26 12:42:04+00
94,4823,wrong_item,refunded,272.93,2024-08-24 14:40:01+00,2024-08-26 14:40:01+00
95,4832,wrong_item,refunded,732.96,2024-08-24 06:14:19+00,2024-08-26 06:14:19+00
96,4911,defective,refunded,1425.54,2024-08-25 02:29:28+00,2024-08-27 02:29:28+00
97,4958,size_fit,refunded,322.34,2024-08-25 09:48:28+00,2024-08-27 09:48:28+00
98,4961,defective,refunded,107.0,2024-08-26 17:54:51+00,2024-08-28 17:54:51+00
99,5109,defective,refunded,111.25,2024-08-27 07:52:25+00,2024-08-29 07:52:25+00
100,5149,wrong_item,refunded,730.03,2024-08-27 00:15:54+00,2024-08-29 00:15:54+00
101,5164,defective,refunded,330.57,2024-08-28 10:17:01+00,2024-08-30 10:17:01+00
102,5192,buyer_remorse,refunded,388.77,2024-08-28 17:56:11+00,2024-08-30 17:56:11+00
103,5381,defective,refunded,1058.14,2024-08-30 04:48:17+00,2024-09-01 04:48:17+00
104,5411,defective,refunded,129.53,2024-08-30 22:34:36+00,2024-09-01 22:34:36+00
105,5415,size_fit,refunded,527.2,2024-08-30 15:52:33+00,2024-09-01 15:52:33+00
106,5422,defective,refunded,324.51,2024-08-30 08:08:37+00,2024-09-01 08:08:37+00
107,5510,defective,refunded,198.03,2024-08-31 09:46:37+00,2024-09-02 09:46:37+00
108,5526,defective,refunded,177.38,2024-08-31 00:31:50+00,2024-09-02 00:31:50+00
109,5565,late_delivery,refunded,214.59,2024-09-01 19:02:33+00,2024-09-03 19:02:33+00
110,5628,late_delivery,refunded,274.03,2024-09-01 04:50:43+00,2024-09-03 04:50:43+00
111,5646,wrong_item,refunded,53.5,2024-09-02 15:20:42+00,2024-09-04 15:20:42+00
112,5711,buyer_remorse,refunded,50.11,2024-09-02 17:57:12+00,2024-09-04 17:57:12+00
113,5792,damaged,refunded,272.29,2024-09-03 18:37:09+00,2024-09-05 18:37:09+00
114,5849,buyer_remorse,refunded,1443.24,2024-09-04 22:23:05+00,2024-09-06 22:23:05+00
115,5896,wrong_item,refunded,1324.61,2024-09-04 00:07:22+00,2024-09-06 00:07:22+00
116,5912,defective,refunded,283.14,2024-09-04 09:42:37+00,2024-09-06 09:42:37+00
117,6018,defective,refunded,636.6,2024-09-06 18:27:23+00,2024-09-08 18:27:23+00
118,6023,late_delivery,refunded,647.74,2024-09-06 03:11:54+00,2024-09-08 03:11:54+00
119,6094,defective,refunded,61.29,2024-09-06 06:06:53+00,2024-09-08 06:06:53+00
120,6095,buyer_remorse,refunded,3063.72,2024-09-06 06:15:13+00,2024-09-08 06:15:13+00
121,6152,size_fit,refunded,15.55,2024-09-07 05:09:21+00,2024-09-09 05:09:21+00
122,6153,damaged,refunded,579.6,2024-09-07 09:40:10+00,2024-09-09 09:40:10+00
123,6175,buyer_remorse,refunded,906.08,2024-09-07 14:02:53+00,2024-09-09 14:02:53+00
124,6183,late_delivery,refunded,426.7,2024-09-07 07:06:29+00,2024-09-09 07:06:29+00
125,6214,damaged,refunded,219.6,2024-09-08 16:28:40+00,2024-09-10 16:28:40+00
126,6248,size_fit,refunded,306.63,2024-09-08 05:59:44+00,2024-09-10 05:59:44+00
127,6331,size_fit,refunded,80.78,2024-09-09 14:59:45+00,2024-09-11 14:59:45+00
128,6350,buyer_remorse,refunded,1421.44,2024-09-09 08:19:40+00,2024-09-11 08:19:40+00
129,6372,size_fit,refunded,76.16,2024-09-09 05:34:31+00,2024-09-11 05:34:31+00
130,6375,wrong_item,refunded,867.01,2024-09-09 21:56:30+00,2024-09-11 21:56:30+00
131,6408,buyer_remorse,refunded,906.08,2024-09-10 07:14:21+00,2024-09-12 07:14:21+00
132,6492,defective,refunded,162.47,2024-09-10 03:48:27+00,2024-09-12 03:48:27+00
133,6532,size_fit,refunded,138.19,2024-09-11 20:50:52+00,2024-09-13 20:50:52+00
134,6576,damaged,refunded,1867.74,2024-09-11 08:57:06+00,2024-09-13 08:57:06+00
135,6722,damaged,refunded,63.45,2024-09-13 21:01:00+00,2024-09-15 21:01:00+00
136,6844,size_fit,refunded,1545.04,2024-09-14 19:06:36+00,2024-09-16 19:06:36+00
137,7041,wrong_item,refunded,283.24,2024-09-16 08:48:33+00,2024-09-18 08:48:33+00
138,7112,wrong_item,refunded,498.19,2024-09-17 01:26:51+00,2024-09-19 01:26:51+00
139,7147,damaged,refunded,1465.38,2024-09-17 18:03:40+00,2024-09-19 18:03:40+00
140,7221,damaged,refunded,1207.73,2024-09-18 03:23:34+00,2024-09-20 03:23:34+00
141,7263,late_delivery,refunded,652.3,2024-09-18 11:08:07+00,2024-09-20 11:08:07+00
142,7280,wrong_item,refunded,123.54,2024-09-19 06:00:54+00,2024-09-21 06:00:54+00
143,7289,wrong_item,refunded,364.11,2024-09-19 04:17:14+00,2024-09-21 04:17:14+00
144,7306,defective,refunded,744.87,2024-09-19 02:14:14+00,2024-09-21 02:14:14+00
145,7309,size_fit,refunded,281.8,2024-09-19 09:22:45+00,2024-09-21 09:22:45+00
146,7358,size_fit,refunded,285.54,2024-09-19 02:10:36+00,2024-09-21 02:10:36+00
147,7453,size_fit,refunded,311.65,2024-09-20 14:51:40+00,2024-09-22 14:51:40+00
148,7530,wrong_item,refunded,141.62,2024-09-21 20:01:33+00,2024-09-23 20:01:33+00
149,7546,size_fit,refunded,17.51,2024-09-21 16:29:06+00,2024-09-23 16:29:06+00
150,7573,buyer_remorse,refunded,91.69,2024-09-22 23:28:36+00,2024-09-24 23:28:36+00
151,7643,damaged,refunded,72.59,2024-09-22 02:20:02+00,2024-09-24 02:20:02+00
152,7677,buyer_remorse,refunded,1463.52,2024-09-23 15:19:16+00,2024-09-25 15:19:16+00
153,7722,late_delivery,refunded,306.63,2024-09-23 17:06:22+00,2024-09-25 17:06:22+00
154,7816,buyer_remorse,refunded,925.17,2024-09-24 06:42:31+00,2024-09-26 06:42:31+00
155,7820,size_fit,refunded,141.62,2024-09-24 20:22:26+00,2024-09-26 20:22:26+00
156,7904,damaged,refunded,204.0,2024-09-25 08:20:47+00,2024-09-27 08:20:47+00
157,8083,buyer_remorse,refunded,1107.11,2024-09-27 02:58:37+00,2024-09-29 02:58:37+00
158,8148,size_fit,refunded,122.69,2024-09-28 17:58:15+00,2024-09-30 17:58:15+00
159,8221,buyer_remorse,refunded,580.96,2024-09-28 11:47:27+00,2024-09-30 11:47:27+00
160,8311,wrong_item,refunded,243.92,2024-09-30 22:47:26+00,2024-10-02 22:47:26+00
161,8379,buyer_remorse,refunded,199.18,2024-09-30 20:30:20+00,2024-10-02 20:30:20+00
162,8399,defective,refunded,186.66,2024-09-30 10:18:22+00,2024-10-02 10:18:22+00
163,8509,defective,refunded,252.34,2024-10-01 22:47:07+00,2024-10-03 22:47:07+00
164,8584,late_delivery,refunded,1722.87,2024-10-02 16:35:16+00,2024-10-04 16:35:16+00
165,8603,damaged,refunded,13.38,2024-10-02 22:46:36+00,2024-10-04 22:46:36+00
166,8629,wrong_item,refunded,254.07,2024-10-02 13:50:31+00,2024-10-04 13:50:31+00
167,8666,defective,refunded,671.7,2024-10-03 20:25:51+00,2024-10-05 20:25:51+00
168,8709,size_fit,refunded,84.4,2024-10-03 16:36:10+00,2024-10-05 16:36:10+00
169,8743,size_fit,refunded,123.58,2024-10-03 02:57:38+00,2024-10-05 02:57:38+00
170,8818,late_delivery,refunded,480.2,2024-10-04 22:21:27+00,2024-10-06 22:21:27+00
171,8891,defective,refunded,265.8,2024-10-05 15:16:27+00,2024-10-07 15:16:27+00
172,8930,defective,refunded,484.64,2024-10-05 05:22:17+00,2024-10-07 05:22:17+00
173,8964,size_fit,refunded,506.97,2024-10-05 08:42:17+00,2024-10-07 08:42:17+00
174,8995,buyer_remorse,refunded,98.64,2024-10-06 19:50:01+00,2024-10-08 19:50:01+00
175,9001,wrong_item,refunded,391.26,2024-10-06 13:05:40+00,2024-10-08 13:05:40+00
176,9052,wrong_item,refunded,252.62,2024-10-06 10:05:39+00,2024-10-08 10:05:39+00
177,9101,late_delivery,refunded,194.9,2024-10-07 06:36:19+00,2024-10-09 06:36:19+00
178,9137,wrong_item,refunded,283.14,2024-10-07 01:26:52+00,2024-10-09 01:26:52+00
179,9144,buyer_remorse,refunded,125.61,2024-10-07 06:55:18+00,2024-10-09 06:55:18+00
180,9168,buyer_remorse,refunded,887.73,2024-10-07 07:55:56+00,2024-10-09 07:55:56+00
181,9201,wrong_item,refunded,498.88,2024-10-08 06:02:35+00,2024-10-10 06:02:35+00
182,9263,buyer_remorse,refunded,3851.86,2024-10-08 14:19:59+00,2024-10-10 14:19:59+00
183,9319,damaged,refunded,951.77,2024-10-09 07:20:59+00,2024-10-11 07:20:59+00
184,9342,buyer_remorse,refunded,970.26,2024-10-09 17:08:40+00,2024-10-11 17:08:40+00
185,9347,size_fit,refunded,110.56,2024-10-09 22:51:46+00,2024-10-11 22:51:46+00
186,9398,buyer_remorse,refunded,372.31,2024-10-09 06:23:21+00,2024-10-11 06:23:21+00
187,9587,defective,refunded,126.66,2024-10-11 13:39:25+00,2024-10-13 13:39:25+00
188,9642,buyer_remorse,refunded,803.22,2024-10-12 06:09:28+00,2024-10-14 06:09:28+00
189,9708,defective,refunded,129.15,2024-10-12 23:45:55+00,2024-10-14 23:45:55+00
190,9736,late_delivery,refunded,671.98,2024-10-13 11:56:52+00,2024-10-15 11:56:52+00
191,9756,wrong_item,refunded,905.95,2024-10-13 21:36:12+00,2024-10-15 21:36:12+00
192,9899,wrong_item,refunded,15.55,2024-10-14 04:14:19+00,2024-10-16 04:14:19+00
193,9905,late_delivery,refunded,412.36,2024-10-14 02:05:05+00,2024-10-16 02:05:05+00
194,9976,size_fit,refunded,574.29,2024-10-15 09:35:39+00,2024-10-17 09:35:39+00
195,9994,defective,refunded,173.27,2024-10-15 21:52:06+00,2024-10-17 21:52:06+00
196,10115,damaged,refunded,31.63,2024-10-16 00:28:18+00,2024-10-18 00:28:18+00
197,10132,late_delivery,refunded,274.03,2024-10-17 23:48:00+00,2024-10-19 23:48:00+00
198,10238,buyer_remorse,refunded,108.25,2024-10-18 08:15:54+00,2024-10-20 08:15:54+00
199,10290,defective,refunded,295.82,2024-10-18 08:56:42+00,2024-10-20 08:56:42+00
200,10399,damaged,refunded,665.11,2024-10-19 09:22:13+00,2024-10-21 09:22:13+00
201,10450,buyer_remorse,refunded,110.61,2024-10-20 06:52:01+00,2024-10-22 06:52:01+00
202,10482,size_fit,refunded,1849.88,2024-10-20 05:22:41+00,2024-10-22 05:22:41+00
203,10523,late_delivery,refunded,297.07,2024-10-20 14:06:54+00,2024-10-22 14:06:54+00
204,10525,defective,refunded,280.46,2024-10-20 14:34:43+00,2024-10-22 14:34:43+00
205,10558,damaged,refunded,241.2,2024-10-21 02:07:51+00,2024-10-23 02:07:51+00
206,10598,damaged,refunded,1169.36,2024-10-21 23:32:28+00,2024-10-23 23:32:28+00
207,10658,buyer_remorse,refunded,244.92,2024-10-21 16:38:47+00,2024-10-23 16:38:47+00
208,10723,size_fit,refunded,347.54,2024-10-22 14:38:06+00,2024-10-24 14:38:06+00
209,10743,late_delivery,refunded,132.1,2024-10-22 18:57:50+00,2024-10-24 18:57:50+00
210,10745,wrong_item,refunded,2977.38,2024-10-22 19:42:26+00,2024-10-24 19:42:26+00
211,10914,late_delivery,refunded,521.85,2024-10-24 06:23:50+00,2024-10-26 06:23:50+00
212,10924,buyer_remorse,refunded,134.86,2024-10-24 07:26:08+00,2024-10-26 07:26:08+00
213,10934,wrong_item,refunded,29.34,2024-10-24 16:17:15+00,2024-10-26 16:17:15+00
214,10982,late_delivery,refunded,1082.34,2024-10-24 22:36:02+00,2024-10-26 22:36:02+00
215,11200,late_delivery,refunded,145.35,2024-10-26 03:15:33+00,2024-10-28 03:15:33+00
216,11212,late_delivery,refunded,1247.58,2024-10-27 13:38:44+00,2024-10-29 13:38:44+00
217,11239,late_delivery,refunded,470.18,2024-10-27 11:20:06+00,2024-10-29 11:20:06+00
218,11271,late_delivery,refunded,135.82,2024-10-27 21:30:45+00,2024-10-29 21:30:45+00
219,11286,defective,refunded,108.34,2024-10-27 00:10:30+00,2024-10-29 00:10:30+00
220,11328,defective,refunded,429.18,2024-10-28 20:26:20+00,2024-10-30 20:26:20+00
221,11397,wrong_item,refunded,119.58,2024-10-28 07:30:10+00,2024-10-30 07:30:10+00
222,11453,late_delivery,refunded,1246.2,2024-10-29 21:23:14+00,2024-10-31 21:23:14+00
223,11646,damaged,refunded,149.88,2024-10-30 11:13:53+00,2024-11-01 11:13:53+00
224,11685,size_fit,refunded,238.72,2024-10-31 19:50:49+00,2024-11-02 19:50:49+00
225,11725,damaged,refunded,201.64,2024-10-31 12:48:30+00,2024-11-02 12:48:30+00
226,11784,size_fit,refunded,358.68,2024-11-01 08:16:37+00,2024-11-03 08:16:37+00
227,11810,size_fit,refunded,742.68,2024-11-01 15:00:57+00,2024-11-03 15:00:57+00
228,11921,damaged,refunded,224.34,2024-11-02 19:26:00+00,2024-11-04 19:26:00+00
229,11930,late_delivery,refunded,578.63,2024-11-02 09:16:35+00,2024-11-04 09:16:35+00
230,11946,buyer_remorse,refunded,240.68,2024-11-02 01:28:34+00,2024-11-04 01:28:34+00
231,12004,buyer_remorse,refunded,458.6,2024-11-02 06:14:16+00,2024-11-04 06:14:16+00
232,12053,damaged,refunded,92.06,2024-11-03 05:41:20+00,2024-11-05 05:41:20+00
233,12099,wrong_item,refunded,129.15,2024-11-03 12:27:06+00,2024-11-05 12:27:06+00
234,12112,late_delivery,refunded,420.5,2024-11-03 13:51:48+00,2024-11-05 13:51:48+00
235,12267,size_fit,refunded,242.24,2024-11-04 07:12:58+00,2024-11-06 07:12:58+00
236,12281,buyer_remorse,refunded,780.69,2024-11-05 01:31:08+00,2024-11-07 01:31:08+00
237,12429,size_fit,refunded,899.97,2024-11-06 11:20:44+00,2024-11-08 11:20:44+00
238,12483,defective,refunded,123.58,2024-11-06 05:57:54+00,2024-11-08 05:57:54+00
239,12489,size_fit,refunded,622.58,2024-11-06 10:52:33+00,2024-11-08 10:52:33+00
240,12585,damaged,refunded,884.8,2024-11-07 12:35:00+00,2024-11-09 12:35:00+00
241,12642,late_delivery,refunded,265.92,2024-11-08 01:17:39+00,2024-11-10 01:17:39+00
242,12676,wrong_item,refunded,101.46,2024-11-08 11:08:07+00,2024-11-10 11:08:07+00
243,12706,buyer_remorse,refunded,545.79,2024-11-08 13:51:54+00,2024-11-10 13:51:54+00
244,12863,buyer_remorse,refunded,121.92,2024-11-09 16:41:12+00,2024-11-11 16:41:12+00
245,12905,defective,refunded,204.87,2024-11-09 22:07:45+00,2024-11-11 22:07:45+00
246,12935,wrong_item,refunded,453.2,2024-11-09 12:36:53+00,2024-11-11 12:36:53+00
247,12957,size_fit,refunded,127.27,2024-11-09 12:36:48+00,2024-11-11 12:36:48+00
248,12996,damaged,refunded,389.8,2024-11-10 05:27:51+00,2024-11-12 05:27:51+00
249,13003,size_fit,refunded,1008.54,2024-11-10 11:32:19+00,2024-11-12 11:32:19+00
250,13164,wrong_item,refunded,197.66,2024-11-11 20:41:04+00,2024-11-13 20:41:04+00
251,13266,late_delivery,refunded,408.18,2024-11-11 00:28:42+00,2024-11-13 00:28:42+00
252,13302,defective,refunded,413.58,2024-11-11 02:53:17+00,2024-11-13 02:53:17+00
253,13476,buyer_remorse,refunded,142.79,2024-11-12 09:32:35+00,2024-11-14 09:32:35+00
254,13563,late_delivery,refunded,334.65,2024-11-13 05:57:29+00,2024-11-15 05:57:29+00
255,13573,damaged,refunded,159.67,2024-11-13 16:48:06+00,2024-11-15 16:48:06+00
256,13717,damaged,refunded,606.19,2024-11-13 00:35:42+00,2024-11-15 00:35:42+00
257,13718,buyer_remorse,refunded,143.21,2024-11-13 05:23:47+00,2024-11-15 05:23:47+00
258,13790,late_delivery,refunded,163.18,2024-11-14 11:17:58+00,2024-11-16 11:17:58+00
259,13795,damaged,refunded,884.8,2024-11-14 03:51:17+00,2024-11-16 03:51:17+00
260,13872,damaged,refunded,166.69,2024-11-14 19:43:28+00,2024-11-16 19:43:28+00
261,13929,late_delivery,refunded,334.65,2024-11-14 18:21:23+00,2024-11-16 18:21:23+00
262,14016,defective,refunded,45.94,2024-11-15 05:52:21+00,2024-11-17 05:52:21+00
263,14168,damaged,refunded,299.88,2024-11-16 00:18:52+00,2024-11-18 00:18:52+00
264,14244,buyer_remorse,refunded,545.79,2024-11-16 22:47:33+00,2024-11-18 22:47:33+00
265,14340,late_delivery,refunded,934.45,2024-11-17 13:04:52+00,2024-11-19 13:04:52+00
266,14350,buyer_remorse,refunded,1695.26,2024-11-17 06:10:36+00,2024-11-19 06:10:36+00
267,14426,damaged,refunded,119.1,2024-11-17 15:16:42+00,2024-11-19 15:16:42+00
268,14495,buyer_remorse,refunded,164.37,2024-11-18 00:30:55+00,2024-11-20 00:30:55+00
269,14499,late_delivery,refunded,335.62,2024-11-18 03:14:11+00,2024-11-20 03:14:11+00
270,14504,late_delivery,refunded,665.11,2024-11-18 08:03:34+00,2024-11-20 08:03:34+00
271,14701,buyer_remorse,refunded,1087.16,2024-11-19 15:00:40+00,2024-11-21 15:00:40+00
272,14728,size_fit,refunded,1392.11,2024-11-19 19:48:36+00,2024-11-21 19:48:36+00
273,14747,buyer_remorse,refunded,134.86,2024-11-19 05:56:45+00,2024-11-21 05:56:45+00
274,14809,defective,refunded,693.6,2024-11-19 13:36:37+00,2024-11-21 13:36:37+00
275,14827,late_delivery,refunded,358.68,2024-11-20 07:37:51+00,2024-11-22 07:37:51+00
276,14954,late_delivery,refunded,1773.44,2024-11-20 14:36:42+00,2024-11-22 14:36:42+00
277,14958,late_delivery,refunded,3735.48,2024-11-20 07:55:47+00,2024-11-22 07:55:47+00
278,14988,defective,refunded,56.6,2024-11-21 04:47:20+00,2024-11-23 04:47:20+00
279,15031,wrong_item,refunded,119.1,2024-11-21 03:15:53+00,2024-11-23 03:15:53+00
280,15097,wrong_item,refunded,322.34,2024-11-21 05:58:20+00,2024-11-23 05:58:20+00
281,15107,defective,refunded,243.92,2024-11-21 07:19:07+00,2024-11-23 07:19:07+00
282,15202,late_delivery,refunded,602.06,2024-11-22 07:13:16+00,2024-11-24 07:13:16+00
283,15271,size_fit,refunded,3368.4,2024-11-22 20:55:34+00,2024-11-24 20:55:34+00
284,15449,wrong_item,refunded,1485.78,2024-11-23 15:45:01+00,2024-11-25 15:45:01+00
285,15501,defective,refunded,1698.07,2024-11-24 11:31:10+00,2024-11-26 11:31:10+00
286,15568,late_delivery,refunded,476.04,2024-11-24 02:35:51+00,2024-11-26 02:35:51+00
287,15573,defective,refunded,730.11,2024-11-24 14:11:44+00,2024-11-26 14:11:44+00
