review_id,product_id,customer_id,rating,title,comment,created_at,updated_at
75,330,5376,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-11 20:07:57+00,2024-07-11 20:07:57+00
76,357,5619,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-11 21:42:24+00,2024-07-11 21:42:24+00
77,516,333,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-11 10:43:41+00,2024-07-11 10:43:41+00
78,326,212,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-11 17:20:26+00,2024-07-11 17:20:26+00
79,247,1299,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-11 09:20:00+00,2024-07-11 09:20:00+00
80,316,7159,1,Awful product,"Stopped working after two days, avoid!",2024-07-11 11:46:00+00,2024-07-11 11:46:00+00
81,308,9573,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-11 02:11:29+00,2024-07-11 02:11:29+00
82,116,9897,4,Very Good,"Good value for money, functions well.",2024-07-12 00:11:01+00,2024-07-12 00:11:01+00
83,258,388,2,Disappointed,"Not as described, quality is subpar.",2024-07-12 19:00:14+00,2024-07-12 19:00:14+00
84,98,9661,2,Disappointed,"Not as described, quality is subpar.",2024-07-12 01:11:20+00,2024-07-12 01:11:20+00
85,288,9448,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-12 06:11:13+00,2024-07-12 06:11:13+00
86,115,2979,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-12 16:51:38+00,2024-07-12 16:51:38+00
87,327,3669,3,Average,Decent but has some minor issues.,2024-07-12 21:56:27+00,2024-07-12 21:56:27+00
88,329,2930,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-12 08:03:20+00,2024-07-12 08:03:20+00
89,345,1417,3,Average,Decent but has some minor issues.,2024-07-12 23:29:41+00,2024-07-12 23:29:41+00
90,475,7917,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-12 18:05:35+00,2024-07-12 18:05:35+00
91,91,9344,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-12 19:04:31+00,2024-07-12 19:04:31+00
92,460,3176,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-12 00:08:35+00,2024-07-12 00:08:35+00
93,50,7753,4,Very Good,"Good value for money, functions well.",2024-07-12 15:19:28+00,2024-07-12 15:19:28+00
94,368,10137,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-13 04:02:58+00,2024-07-13 04:02:58+00
95,285,4884,4,Very Good,"Good value for money, functions well.",2024-07-13 17:06:52+00,2024-07-13 17:06:52+00
96,16,384,4,Very Good,"Good value for money, functions well.",2024-07-13 12:12:41+00,2024-07-13 12:12:41+00
97,452,154,4,Very Good,"Good value for money, functions well.",2024-07-13 06:33:25+00,2024-07-13 06:33:25+00
98,169,849,4,Very Good,"Good value for money, functions well.",2024-07-13 09:07:02+00,2024-07-13 09:07:02+00
99,75,3391,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-13 01:50:46+00,2024-07-13 01:50:46+00
100,371,1255,4,Very Good,"Good value for money, functions well.",2024-07-13 18:59:45+00,2024-07-13 18:59:45+00
101,193,6561,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-13 15:26:11+00,2024-07-13 15:26:11+00
102,459,5345,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-13 21:39:59+00,2024-07-13 21:39:59+00
103,345,5034,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-13 19:19:27+00,2024-07-13 19:19:27+00
104,196,2026,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-13 09:51:12+00,2024-07-13 09:51:12+00
105,460,10266,4,Very Good,"Good value for money, functions well.",2024-07-13 12:33:46+00,2024-07-13 12:33:46+00
106,141,9570,4,Very Good,"Good value for money, functions well.",2024-07-14 17:18:28+00,2024-07-14 17:18:28+00
107,444,6140,4,Very Good,"Good value for money, functions well.",2024-07-14 01:13:04+00,2024-07-14 01:13:04+00
108,77,2173,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-14 13:09:42+00,2024-07-14 13:09:42+00
109,85,547,4,Very Good,"Good value for money, functions well.",2024-07-14 15:31:41+00,2024-07-14 15:31:41+00
110,122,9679,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-14 23:20:01+00,2024-07-14 23:20:01+00
111,72,9769,3,Average,Decent but has some minor issues.,2024-07-14 06:41:51+00,2024-07-14 06:41:51+00
112,102,3764,4,Very Good,"Good value for money, functions well.",2024-07-14 02:16:46+00,2024-07-14 02:16:46+00
113,101,4744,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-14 17:05:56+00,2024-07-14 17:05:56+00
114,301,10145,4,Very Good,"Good value for money, functions well.",2024-07-14 01:27:39+00,2024-07-14 01:27:39+00
115,249,6652,1,Awful product,"Stopped working after two days, avoid!",2024-07-15 00:24:18+00,2024-07-15 00:24:18+00
116,514,3538,4,Very Good,"Good value for money, functions well.",2024-07-15 19:39:02+00,2024-07-15 19:39:02+00
117,79,10387,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-15 03:13:58+00,2024-07-15 03:13:58+00
118,167,606,2,Disappointed,"Not as described, quality is subpar.",2024-07-15 02:57:26+00,2024-07-15 02:57:26+00
119,3,4367,3,Average,Decent but has some minor issues.,2024-07-15 01:24:47+00,2024-07-15 01:24:47+00
120,124,7604,4,Very Good,"Good value for money, functions well.",2024-07-15 04:05:29+00,2024-07-15 04:05:29+00
121,90,3693,4,Very Good,"Good value for money, functions well.",2024-07-15 07:36:13+00,2024-07-15 07:36:13+00
122,415,6098,2,Disappointed,"Not as described, quality is subpar.",2024-07-15 22:08:58+00,2024-07-15 22:08:58+00
123,48,618,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-15 06:48:16+00,2024-07-15 06:48:16+00
124,439,8628,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-15 06:03:43+00,2024-07-15 06:03:43+00
125,217,4091,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-15 08:58:26+00,2024-07-15 08:58:26+00
126,192,6773,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-15 03:26:58+00,2024-07-15 03:26:58+00
127,188,1280,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-15 16:02:52+00,2024-07-15 16:02:52+00
128,215,3746,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-16 17:53:48+00,2024-07-16 17:53:48+00
129,26,2510,4,Very Good,"Good value for money, functions well.",2024-07-16 22:24:20+00,2024-07-16 22:24:20+00
130,113,6135,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-16 15:10:52+00,2024-07-16 15:10:52+00
131,97,10493,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-16 23:38:33+00,2024-07-16 23:38:33+00
132,330,5951,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-16 02:38:55+00,2024-07-16 02:38:55+00
133,329,6943,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-16 08:47:57+00,2024-07-16 08:47:57+00
134,85,5729,4,Very Good,"Good value for money, functions well.",2024-07-16 23:14:05+00,2024-07-16 23:14:05+00
135,139,5711,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-16 17:55:33+00,2024-07-16 17:55:33+00
136,64,924,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-16 11:36:57+00,2024-07-16 11:36:57+00
137,381,654,2,Disappointed,"Not as described, quality is subpar.",2024-07-16 19:34:50+00,2024-07-16 19:34:50+00
138,19,4117,2,Disappointed,"Not as described, quality is subpar.",2024-07-17 10:57:42+00,2024-07-17 10:57:42+00
139,173,3232,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-17 11:28:36+00,2024-07-17 11:28:36+00
140,400,1414,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-17 17:26:00+00,2024-07-17 17:26:00+00
141,162,6842,3,Average,Decent but has some minor issues.,2024-07-17 06:15:57+00,2024-07-17 06:15:57+00
142,220,10174,3,Average,Decent but has some minor issues.,2024-07-17 10:23:42+00,2024-07-17 10:23:42+00
143,20,3416,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-17 07:26:27+00,2024-07-17 07:26:27+00
144,1,2331,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-17 18:05:20+00,2024-07-17 18:05:20+00
145,35,10085,4,Very Good,"Good value for money, functions well.",2024-07-17 02:05:25+00,2024-07-17 02:05:25+00
146,85,7815,4,Very Good,"Good value for money, functions well.",2024-07-17 08:13:46+00,2024-07-17 08:13:46+00
147,310,586,4,Very Good,"Good value for money, functions well.",2024-07-17 05:10:28+00,2024-07-17 05:10:28+00
148,412,1550,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-17 07:50:28+00,2024-07-17 07:50:28+00
149,519,764,2,Disappointed,"Not as described, quality is subpar.",2024-07-17 06:09:03+00,2024-07-17 06:09:03+00
150,392,6305,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-17 18:44:46+00,2024-07-17 18:44:46+00
151,165,2117,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-17 00:23:21+00,2024-07-17 00:23:21+00
152,152,5310,4,Very Good,"Good value for money, functions well.",2024-07-17 14:24:10+00,2024-07-17 14:24:10+00
153,195,5929,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-17 17:41:04+00,2024-07-17 17:41:04+00
154,115,8829,4,Very Good,"Good value for money, functions well.",2024-07-18 21:50:45+00,2024-07-18 21:50:45+00
155,26,9728,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-18 13:33:24+00,2024-07-18 13:33:24+00
156,25,9896,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-18 20:19:58+00,2024-07-18 20:19:58+00
157,139,1856,4,Very Good,"Good value for money, functions well.",2024-07-18 09:15:25+00,2024-07-18 09:15:25+00
158,292,6653,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-18 14:38:04+00,2024-07-18 14:38:04+00
159,100,4125,4,Very Good,"Good value for money, functions well.",2024-07-18 04:41:36+00,2024-07-18 04:41:36+00
160,267,362,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-18 22:48:24+00,2024-07-18 22:48:24+00
161,366,7571,4,Very Good,"Good value for money, functions well.",2024-07-18 06:08:20+00,2024-07-18 06:08:20+00
162,270,214,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-18 05:07:11+00,2024-07-18 05:07:11+00
163,386,1665,4,Very Good,"Good value for money, functions well.",2024-07-18 20:59:00+00,2024-07-18 20:59:00+00
164,448,2323,2,Disappointed,"Not as described, quality is subpar.",2024-07-18 00:52:08+00,2024-07-18 00:52:08+00
165,253,9399,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-18 16:42:02+00,2024-07-18 16:42:02+00
166,160,6496,3,Average,Decent but has some minor issues.,2024-07-19 05:10:08+00,2024-07-19 05:10:08+00
167,74,583,3,Average,Decent but has some minor issues.,2024-07-19 02:45:38+00,2024-07-19 02:45:38+00
168,336,1811,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-19 13:45:13+00,2024-07-19 13:45:13+00
169,183,918,4,Very Good,"Good value for money, functions well.",2024-07-19 03:31:39+00,2024-07-19 03:31:39+00
170,241,6464,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-19 20:54:46+00,2024-07-19 20:54:46+00
171,372,5599,4,Very Good,"Good value for money, functions well.",2024-07-19 15:42:52+00,2024-07-19 15:42:52+00
172,472,4091,4,Very Good,"Good value for money, functions well.",2024-07-19 15:18:07+00,2024-07-19 15:18:07+00
173,282,10433,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-19 05:07:41+00,2024-07-19 05:07:41+00
174,464,7210,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-19 05:04:41+00,2024-07-19 05:04:41+00
175,108,5608,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-19 07:10:13+00,2024-07-19 07:10:13+00
176,48,5769,3,Average,Decent but has some minor issues.,2024-07-19 11:45:09+00,2024-07-19 11:45:09+00
177,266,5765,4,Very Good,"Good value for money, functions well.",2024-07-19 23:09:15+00,2024-07-19 23:09:15+00
178,82,3224,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-19 16:46:05+00,2024-07-19 16:46:05+00
179,386,7675,1,Awful product,"Stopped working after two days, avoid!",2024-07-19 13:12:34+00,2024-07-19 13:12:34+00
180,432,1469,4,Very Good,"Good value for money, functions well.",2024-07-19 08:38:39+00,2024-07-19 08:38:39+00
181,402,296,1,Awful product,"Stopped working after two days, avoid!",2024-07-20 01:08:03+00,2024-07-20 01:08:03+00
182,432,5716,3,Average,Decent but has some minor issues.,2024-07-20 13:18:52+00,2024-07-20 13:18:52+00
183,43,928,4,Very Good,"Good value for money, functions well.",2024-07-20 08:49:51+00,2024-07-20 08:49:51+00
184,165,3502,3,Average,Decent but has some minor issues.,2024-07-20 17:47:49+00,2024-07-20 17:47:49+00
185,29,2970,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-20 13:39:28+00,2024-07-20 13:39:28+00
186,351,7123,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-20 00:36:57+00,2024-07-20 00:36:57+00
187,427,3568,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-20 02:44:23+00,2024-07-20 02:44:23+00
188,412,3937,4,Very Good,"Good value for money, functions well.",2024-07-20 12:50:39+00,2024-07-20 12:50:39+00
189,94,7232,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-20 16:16:30+00,2024-07-20 16:16:30+00
190,53,8828,4,Very Good,"Good value for money, functions well.",2024-07-20 07:52:52+00,2024-07-20 07:52:52+00
191,209,5930,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-20 00:27:21+00,2024-07-20 00:27:21+00
192,156,4868,3,Average,Decent but has some minor issues.,2024-07-20 14:09:57+00,2024-07-20 14:09:57+00
193,16,3634,4,Very Good,"Good value for money, functions well.",2024-07-20 12:24:30+00,2024-07-20 12:24:30+00
194,397,10026,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-20 21:01:21+00,2024-07-20 21:01:21+00
195,450,3730,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-21 16:39:11+00,2024-07-21 16:39:11+00
196,132,2900,4,Very Good,"Good value for money, functions well.",2024-07-21 15:37:27+00,2024-07-21 15:37:27+00
197,59,1935,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-21 21:05:07+00,2024-07-21 21:05:07+00
198,359,5277,1,Awful product,"Stopped working after two days, avoid!",2024-07-21 02:48:37+00,2024-07-21 02:48:37+00
199,150,8619,1,Awful product,"Stopped working after two days, avoid!",2024-07-21 13:22:51+00,2024-07-21 13:22:51+00
200,134,8592,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-21 14:52:20+00,2024-07-21 14:52:20+00
201,254,5834,3,Average,Decent but has some minor issues.,2024-07-21 13:06:53+00,2024-07-21 13:06:53+00
202,22,6306,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-21 16:46:34+00,2024-07-21 16:46:34+00
203,417,4865,4,Very Good,"Good value for money, functions well.",2024-07-21 14:35:19+00,2024-07-21 14:35:19+00
204,55,4538,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-21 17:25:14+00,2024-07-21 17:25:14+00
205,150,2363,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-21 08:14:37+00,2024-07-21 08:14:37+00
206,514,9985,4,Very Good,"Good value for money, functions well.",2024-07-21 23:28:49+00,2024-07-21 23:28:49+00
207,340,6392,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-21 23:50:52+00,2024-07-21 23:50:52+00
208,452,8790,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-21 04:30:04+00,2024-07-21 04:30:04+00
209,206,2930,1,Awful product,"Stopped working after two days, avoid!",2024-07-21 23:21:27+00,2024-07-21 23:21:27+00
210,357,603,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-21 19:55:25+00,2024-07-21 19:55:25+00
211,37,2437,4,Very Good,"Good value for money, functions well.",2024-07-21 05:24:33+00,2024-07-21 05:24:33+00
212,439,4708,4,Very Good,"Good value for money, functions well.",2024-07-21 21:00:09+00,2024-07-21 21:00:09+00
213,198,703,4,Very Good,"Good value for money, functions well.",2024-07-22 22:08:51+00,2024-07-22 22:08:51+00
214,98,1945,4,Very Good,"Good value for money, functions well.",2024-07-22 15:40:08+00,2024-07-22 15:40:08+00
215,42,8008,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-22 07:14:58+00,2024-07-22 07:14:58+00
216,59,8466,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-22 13:10:48+00,2024-07-22 13:10:48+00
217,201,9498,4,Very Good,"Good value for money, functions well.",2024-07-22 15:39:27+00,2024-07-22 15:39:27+00
218,128,2196,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-22 16:36:47+00,2024-07-22 16:36:47+00
219,10,7146,4,Very Good,"Good value for money, functions well.",2024-07-22 03:11:39+00,2024-07-22 03:11:39+00
220,14,3620,1,Awful product,"Stopped working after two days, avoid!",2024-07-22 11:08:32+00,2024-07-22 11:08:32+00
221,512,9617,4,Very Good,"Good value for money, functions well.",2024-07-22 15:21:48+00,2024-07-22 15:21:48+00
222,206,2276,4,Very Good,"Good value for money, functions well.",2024-07-22 05:04:39+00,2024-07-22 05:04:39+00
223,362,5868,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-22 09:13:36+00,2024-07-22 09:13:36+00
224,282,7518,4,Very Good,"Good value for money, functions well.",2024-07-22 06:03:43+00,2024-07-22 06:03:43+00
225,86,9945,4,Very Good,"Good value for money, functions well.",2024-07-22 20:42:17+00,2024-07-22 20:42:17+00
226,304,1105,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-22 10:56:19+00,2024-07-22 10:56:19+00
227,438,2390,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-22 14:06:21+00,2024-07-22 14:06:21+00
228,256,9694,1,Awful product,"Stopped working after two days, avoid!",2024-07-22 19:44:57+00,2024-07-22 19:44:57+00
229,276,579,3,Average,Decent but has some minor issues.,2024-07-22 05:21:45+00,2024-07-22 05:21:45+00
230,356,2702,3,Average,Decent but has some minor issues.,2024-07-22 14:59:57+00,2024-07-22 14:59:57+00
231,123,4904,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-22 08:44:27+00,2024-07-22 08:44:27+00
232,352,9784,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-23 16:23:33+00,2024-07-23 16:23:33+00
233,473,4857,4,Very Good,"Good value for money, functions well.",2024-07-23 12:01:40+00,2024-07-23 12:01:40+00
234,210,1057,5,Excellent!,"Exceeded my expectations, highly recommended!",2024-07-23 07:54:38+00,2024-07-23 07:54:38+00
